Date,group,Site,Family,plant,ind,pH,wt,co,do,
4る22ら,1 ,pond 2,Coenagrionidae,0,7,6.98,24.37,3.55,1.53,
4る22ら,1 ,pond 2,Chironomidae,0,30,6.98,24.37,3.55,1.53,
4る22ら,1 ,pond 2,Baetidae,1,2,7.24,24.5,3.59,1.93,
4る22ら,1 ,pond 2,Coenagrionidae,1,34,7.24,24.5,3.59,1.93,
4る22ら,1 ,pond 2,Chironomidae,1,5,7.24,24.5,3.59,1.93,
4る22ら,1 ,pond 3,Coenagrionidae,0,1,8.1,26.07,4.33,NA,
4る22ら,1 ,pond 3,Chironomidae,0,20,8.1,26.07,4.33,NA,
4る22ら,1 ,pond 3,Baetidae,1,1,7.23,23.13,4.28,3.7,
4る22ら,1 ,pond 3,Coenagrionidae,1,9,7.23,23.13,4.28,3.7,
4る22ら,1 ,pond 3,Chironomidae,1,15,7.23,23.13,4.28,3.7,
4る22ら,1 ,pond 4,Chironomidae,0,13,7.06,23.63,4.58,2.2,
4る22ら,1 ,pond 4,Baetidae,1,1,7.24,23.97,4.71,2.53,
4る22ら,1 ,pond 4,Coenagrionidae,1,9,7.24,23.97,4.71,2.53,
4る22ら,1 ,pond 4,Chironomidae,1,15,7.24,23.97,4.71,2.53,
5る6ら,2 ,pond 2,Coenagrionidae,0,4,7.72,27.37,3.72,4.33,
5る6ら,2 ,pond 2,Libellulidae,0,1,7.72,27.37,3.72,4.33,
5る6ら,2 ,pond 2,Chironomidae,0,11,7.72,27.37,3.72,4.33,
5る6ら,2 ,pond 2,Baetidae,1,1,7.28,27.23,3.45,6.2,
5る6ら,2 ,pond 2,Coenagrionidae,1,32,7.28,27.23,3.45,6.2,
5る6ら,2 ,pond 2,Chironomidae,1,2,7.28,27.23,3.45,6.2,
5る6ら,2 ,pond 3,Coenagrionidae,0,2,8.45,32.63,4.04,6.43,
5る6ら,2 ,pond 3,Chironomidae,0,79,8.45,32.63,4.04,6.43,
5る6ら,2 ,pond 3,Baetidae,1,1,7.59,26.6,4.18,2.73,
5る6ら,2 ,pond 3,Coenagrionidae,1,34,7.59,26.6,4.18,2.73,
5る6ら,2 ,pond 3,Corixidae,1,1,7.59,26.6,4.18,2.73,
5る6ら,2 ,pond 3,Chironomidae,1,6,7.59,26.6,4.18,2.73,
5る6ら,2 ,pond 4,Culicidae,0,1,7.23,23.97,4.32,0.7,
5る6ら,2 ,pond 4,Chironomidae,0,3,7.23,23.97,4.32,0.7,
5る6ら,2 ,pond 4,Baetidae,1,6,7.28,24.17,4.18,1.37,
5る6ら,2 ,pond 4,Coenagrionidae,1,23,7.28,24.17,4.18,1.37,
5る6ら,2 ,pond 4,Corixidae,1,2,7.28,24.17,4.18,1.37,
5る6ら,2 ,pond 4,Chironomidae,1,2,7.28,24.17,4.18,1.37,
5る6ら,2 ,pond 4,Stratiomyidae,1,3,7.28,24.17,4.18,1.37,
5る20ら,3 ,pond 2,Chironomidae,0,3,7.94,30.47,3.95,7.6,
5る20ら,3 ,pond 2,Coenagrionidae,1,8,7.73,31.9,3.68,5.33,
5る20ら,3 ,pond 3,Chironomidae,0,1,7.24,29.43,3.7,3.87,
5る20ら,3 ,pond 3,Stratiomyidae,0,1,7.24,29.43,3.7,3.87,
5る20ら,3 ,pond 3,Baetidae,1,6,7.36,29.3,3.64,1.17,
5る20ら,3 ,pond 3,Coenagrionidae,1,9,7.36,29.3,3.64,1.17,
5る20ら,3 ,pond 3,Hydrometridae,1,1,7.36,29.3,3.64,1.17,
5る20ら,3 ,pond 4,Coenagrionidae,0,5,7.07,27.57,3.47,0.9,
5る20ら,3 ,pond 4,Chironomidae,0,2,7.07,27.57,3.47,0.9,
5る20ら,3 ,pond 4,Baetidae,1,1,7.19,27.6,3.2,1,
5る20ら,3 ,pond 4,Coenagrionidae,1,16,7.19,27.6,3.2,1,
5る20ら,3 ,pond 4,Corixidae,1,1,7.19,27.6,3.2,1,
5る20ら,3 ,pond 4,Hydrometridae,1,1,7.19,27.6,3.2,1,
5る20ら,3 ,pond 4,Chironomidae,1,6,7.19,27.6,3.2,1,
5る20ら,3 ,pond 4,Stratiomyidae,1,1,7.19,27.6,3.2,1,
6る10ら,4 ,pond 3,Chironomidae,0,6,8.67,33.2,4.44,11.6,
6る10ら,4 ,pond 3,Coenagrionidae,1,1,7.63,28.43,4.37,4.97,
6る10ら,4 ,pond 3,Chironomidae,1,3,7.63,28.43,4.37,4.97,
6る10ら,4 ,pond 3,Stratiomyidae,1,1,7.63,28.43,4.37,4.97,
6る10ら,4 ,pond 4,Coenagrionidae,1,3,7.41,27.67,3.94,3.5,
6る10ら,4 ,pond 4,Culicidae,1,1,7.41,27.67,3.94,3.5,
6る10ら,4 ,pond 4,Chironomidae,1,1,7.41,27.67,3.94,3.5,
6る24ら,5 ,pond 2,Chironomidae,0,7,7.72,29.8,3.88,8,
6る24ら,5 ,pond 2,Coenagrionidae,1,3,7.18,29.73,3.85,4,
6る24ら,5 ,pond 3,Chironomidae,0,6,7.85,30.03,3.78,6.63,
6る24ら,5 ,pond 3,Baetidae,1,1,7.19,28.03,3.65,2.7,
6る24ら,5 ,pond 3,Chironomidae,1,3,7.19,28.03,3.65,2.7,
6る24ら,5 ,pond 4,Culicidae,0,1,7.13,26.67,3.59,1.5,
6る24ら,5 ,pond 4,Chironomidae,0,1,7.13,26.67,3.59,1.5,
6る24ら,5 ,pond 4,Coenagrionidae,1,3,7.23,27.1,4.1,0.67,
6る24ら,5 ,pond 4,Chironomidae,1,2,7.23,27.1,4.1,0.67,
7る8ら,6 ,pond 2,Chironomidae,0,5,8.01,29.67,3.68,6.23,
7る8ら,6 ,pond 2,Coenagrionidae,1,2,7.06,29.07,3.37,3.6,
7る8ら,6 ,pond 2,Libellulidae,1,1,7.06,29.07,3.37,3.6,
7る8ら,6 ,pond 3,Chironomidae,0,6,7.41,28.37,3.95,4.73,
7る8ら,6 ,pond 3,Chironomidae,1,2,7.25,27,4.06,1.73,
7る8ら,6 ,pond 4,Chironomidae,0,5,7.51,26.4,3.76,4.33,
7る8ら,6 ,pond 4,Coenagrionidae,1,4,7.22,26.3,3.91,0.77,
7る8ら,6 ,pond 4,Culicidae,1,1,7.22,26.3,3.91,0.77,
7る8ら,6 ,pond 4,Chironomidae,1,3,7.22,26.3,3.91,0.77,
7る29ら,7 ,pond 2,Chironomidae,0,6,7.82,31.5,3.78,4.37,
7る29ら,7 ,pond 2,Coenagrionidae,1,1,7.39,30.4,4.01,1.1,
7る29ら,7 ,pond 2,Libellulidae,1,1,7.39,30.4,4.01,1.1,
7る29ら,7 ,pond 3,Chironomidae,0,1,7.54,28.93,3.42,2.07,
7る29ら,7 ,pond 4,Chironomidae,0,30,7.31,28.2,3.38,1.03,
7る29ら,7 ,pond 4,Coenagrionidae,1,2,7.26,28.13,3.13,1.4,
7る29ら,7 ,pond 4,Chironomidae,1,1,7.26,28.13,3.13,1.4,
8る12ら,8 ,pond 2,Chironomidae,0,4,8.46,29.87,4.71,2.57,
8る12ら,8 ,pond 2,Coenagrionidae,1,2,7.29,30.1,4.08,0.37,
8る12ら,8 ,pond 2,Libellulidae,1,1,7.29,30.1,4.08,0.37,
8る12ら,8 ,pond 3,Chironomidae,0,5,8.02,27.73,4.73,6.27,
8る12ら,8 ,pond 3,Chironomidae,1,3,7.83,28.1,5.02,1.23,
8る12ら,8 ,pond 4,Chironomidae,0,7,8.03,27.43,4.82,3.6,
8る12ら,8 ,pond 4,Baetidae,1,1,7.49,27.87,4.91,1.13,
8る12ら,8 ,pond 4,Coenagrionidae,1,2,7.49,27.87,4.91,1.13,
8る12ら,8 ,pond 4,Chironomidae,1,5,7.49,27.87,4.91,1.13,
9る2ら,9 ,pond 2,Chironomidae,0,4,7.34,29.47,2.39,3.7,
